#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-06-26,20:21:18,78:61:7c:34:25:97,OK,5,1,5,1,1,1,1,1,1824,2439,1725,2318,0,0,0,0
2018-06-28,13:56:57,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1565,3550,1300,3537,0,600,0,600
2018-06-28,13:56:59,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1565,2673,1300,2641,0,1,0,1
2018-06-28,13:57:00,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1940,2282,1921,2239,0,0,0,0
2018-06-28,14:06:31,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1546,3588,1288,3587,0,599,0,599
2018-06-28,14:06:32,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1545,2697,1288,2674,0,1,0,1
2018-06-28,14:06:33,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1915,2258,1903,2219,0,0,0,0
2018-06-28,14:08:34,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1543,3567,1287,3561,0,600,0,600
2018-06-28,14:08:35,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1543,2680,1287,2653,0,1,0,1
2018-06-28,14:08:36,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1913,2257,1902,2218,0,0,0,0
2018-06-28,14:41:19,78:61:7c:34:25:97,ST,4,6,4,6,1,1,1,1,858,392,736,543,0,0,0,0
2018-06-28,14:41:19,78:61:7c:34:25:97,OK,9,31,11,22,1,1,1,1,1890,1806,1977,1823,0,0,0,0
2018-06-28,14:49:21,78:61:7c:34:25:97,ST,4,6,4,6,1,1,1,1,830,652,980,732,0,0,0,0
2018-06-28,14:49:22,78:61:7c:34:25:97,OK,9,18,8,16,1,1,1,1,702,0,758,0,0,0,0,0
2018-06-28,15:19:37,78:61:7c:34:25:97,ST,4,6,4,6,1,1,1,1,107,228,1441,2317,0,0,0,0
2018-06-28,15:19:38,78:61:7c:34:25:97,OK,16,53,5,5,1,1,1,1,419,1823,1785,1810,0,0,0,0
2018-06-28,15:45:00,78:61:7c:34:25:97,ST,4,6,4,6,1,1,1,1,1131,962,1045,1625,0,0,0,0
2018-06-28,15:45:01,78:61:7c:34:25:97,OK,7,12,7,7,1,1,1,1,1958,1842,1816,1780,0,0,0,0
2018-06-29,13:12:53,78:61:7c:34:25:97,ST,4,6,4,6,1,1,1,1,1283,557,1338,1367,0,0,0,0
2018-06-29,13:12:55,78:61:7c:34:25:97,OK,6,22,6,8,1,1,1,1,1895,1881,1970,1752,0,0,0,0
